id,features
3934,"[0.1194968894124031, 0.8277647495269775, 0.0, 0.42314282059669495, 1.0611414909362793, 0.29596149921417236, 0.0, 0.706895112991333, 0.19577693939208984, 0.2778494358062744]"
3944,"[0.28304293751716614, 0.1700943559408188, 0.12288347631692886, 0.38877546787261963, 0.0, 0.0, 0.0, 0.5381179451942444, 0.13858214020729065, 0.0]"
5,"[0.03412497043609619, 0.7765558362007141, 0.39088401198387146, 0.9770205616950989, 0.0, 0.15828363597393036, 0.38752681016921997, 0.0, 0.3031027913093567, 0.612128734588623]"
15,"[0.1859685629606247, 1.1629048585891724, 0.06945042312145233, 0.5751409530639648, 0.1546820104122162, 0.02251926064491272, 0.0, 0.2981283962726593, 0.521674394607544, 0.11583567410707474]"
25,"[0.600891649723053, 0.1515035331249237, 0.535052478313446, 0.2631097435951233, 0.666422426700592, 0.44794827699661255, 0.6902526021003723, 0.6003869771957397, 0.04539411514997482, 0.7346165180206299]"
35,"[0.6824831962585449, 0.4052116572856903, 0.258907675743103, 0.4177757501602173, 0.5556941032409668, 0.5359119772911072, 0.2971675395965576, 0.7720978856086731, 0.32374629378318787, 0.16672185063362122]"
45,"[0.20786528289318085, 0.0, 0.5309421420097351, 0.36173394322395325, 0.5620545148849487, 0.5933206081390381, 0.19140522181987762, 0.9419293999671936, 0.25417158007621765, 0.6903823018074036]"
55,"[0.8394168019294739, 0.0, 0.03437463194131851, 0.8723253011703491, 0.5247558355331421, 0.8089765906333923, 0.12912969291210175, 0.3221180737018585, 0.4127252995967865, 0.28809693455696106]"
65,"[0.16379432380199432, 0.3693848252296448, 0.08442306518554688, 0.3485894203186035, 0.07285766303539276, 0.0, 0.0, 0.21752166748046875, 0.8551596999168396, 0.6443874835968018]"
75,"[0.0, 0.9741827845573425, 0.0, 0.7622140645980835, 0.0, 0.0, 0.0, 0.22812965512275696, 0.0, 0.537049412727356]"
85,"[0.35338449478149414, 0.3529529273509979, 0.6195584535598755, 0.5776465535163879, 0.32198435068130493, 0.4691096544265747, 0.2533712685108185, 0.6291561126708984, 0.4396766126155853, 0.5446540117263794]"
95,"[0.16357353329658508, 1.0582026243209839, 0.3248172700405121, 0.31660568714141846, 0.5015003681182861, 0.3777789771556854, 0.0, 0.12287323921918869, 0.21728619933128357, 0.4918971359729767]"
105,"[0.20580005645751953, 0.43592631816864014, 0.5807089805603027, 0.876859724521637, 0.15300895273685455, 0.4420657753944397, 0.4201233685016632, 0.26452717185020447, 0.0, 0.5029382109642029]"
125,"[0.4450725317001343, 0.41025468707084656, 0.4570632576942444, 0.5121647119522095, 0.18576990067958832, 0.6143705248832703, 0.4722500741481781, 0.9837914705276489, 0.21454493701457977, 0.45217448472976685]"
135,"[0.0, 1.177781581878662, 0.0151590034365654, 0.46635350584983826, 0.13208509981632233, 0.0, 0.0, 0.4638274908065796, 0.6539562940597534, 0.3138940930366516]"
145,"[0.17848913371562958, 1.0991318225860596, 0.22230111062526703, 0.3009452521800995, 0.0, 0.24733327329158783, 0.22143584489822388, 0.42592230439186096, 0.128353551030159, 0.7380467057228088]"
155,"[0.8246946930885315, 0.5584060549736023, 0.3751010000705719, 1.1384003162384033, 0.07178159058094025, 0.4512866735458374, 0.6451804637908936, 0.4596342146396637, 0.038553737103939056, 0.0]"
165,"[0.06006395444273949, 1.1375880241394043, 0.37615466117858887, 0.15240366756916046, 0.23015399277210236, 0.4581977427005768, 0.2659115791320801, 0.4178147614002228, 0.2151232361793518, 0.7256246209144592]"
175,"[0.8354508876800537, 0.23444610834121704, 0.6105198860168457, 0.1935405284166336, 0.5320466756820679, 0.648532509803772, 0.6931561231613159, 0.4207070469856262, 0.0, 0.41776540875434875]"
185,"[0.41226726770401, 0.8584226965904236, 0.27179282903671265, 0.6779655814170837, 0.0, 0.28315889835357666, 0.019975123926997185, 0.0957612618803978, 0.3147667944431305, 0.6731858253479004]"
195,"[0.24785080552101135, 0.7334566116333008, 0.28590258955955505, 0.8410480618476868, 0.24973905086517334, 0.22739550471305847, 0.04778366535902023, 0.2484290599822998, 0.36988818645477295, 0.3619891107082367]"
205,"[0.0, 0.21288345754146576, 0.3265090584754944, 0.8419512510299683, 0.0, 0.76791912317276, 0.5492889881134033, 0.9488877654075623, 0.23472289741039276, 0.23523834347724915]"
215,"[0.18622717261314392, 0.328433096408844, 0.5688339471817017, 0.7586368918418884, 0.8087849020957947, 0.45119792222976685, 0.6242477297782898, 0.5798772573471069, 0.061678215861320496, 0.634731650352478]"
225,"[0.3234640657901764, 0.906042754650116, 0.5718690156936646, 0.49096041917800903, 0.16019950807094574, 0.5450190305709839, 0.15174593031406403, 0.0558764822781086, 0.39399850368499756, 0.6053436994552612]"
235,"[0.0714302659034729, 0.002017029095441103, 0.28135591745376587, 0.35187187790870667, 0.694455623626709, 0.31268468499183655, 0.5447748303413391, 1.16334068775177, 0.17103005945682526, 0.7319141030311584]"
245,"[0.0, 0.6920667290687561, 0.0, 0.10695161670446396, 1.5300928354263306, 1.0230783224105835, 0.0, 0.31430783867836, 0.0, 0.07455255836248398]"
255,"[0.05454821512103081, 0.5327644944190979, 0.0, 0.03627553582191467, 0.337729275226593, 0.0, 0.4104153513908386, 0.0, 0.7892229557037354, 0.5442613363265991]"
265,"[0.5418190360069275, 0.4734865725040436, 0.38055071234703064, 0.7031311392784119, 0.045657023787498474, 0.41629263758659363, 0.7180618643760681, 1.025471568107605, 0.15788887441158295, 0.30786943435668945]"
275,"[0.04610786586999893, 0.5693101286888123, 0.6003525853157043, 0.30062150955200195, 0.16340114176273346, 0.0, 0.003839613636955619, 0.5392362475395203, 0.3933274447917938, 0.6490565538406372]"
295,"[0.4411487877368927, 0.5181557536125183, 0.14585356414318085, 0.37999090552330017, 0.08479216694831848, 0.16113731265068054, 0.19884774088859558, 0.7063778638839722, 0.237339586019516, 0.602752685546875]"
305,"[0.2672264277935028, 0.5805281400680542, 0.3009933531284332, 0.3170236349105835, 0.7109729647636414, 0.3307155668735504, 0.1354740411043167, 0.4682210683822632, 0.27220311760902405, 0.04630512744188309]"
315,"[0.36046308279037476, 1.0980948209762573, 0.28534188866615295, 0.15621504187583923, 0.2405058592557907, 0.04714822769165039, 0.0, 0.0, 0.5206261873245239, 0.6101598143577576]"
325,"[0.0, 0.5706034898757935, 0.23629826307296753, 0.0, 0.036152955144643784, 0.0, 0.4407082498073578, 0.074412502348423, 1.054308295249939, 0.5543306469917297]"
335,"[0.3397955000400543, 0.3455604612827301, 0.20277810096740723, 0.39155757427215576, 0.8247891664505005, 0.3729236125946045, 0.5322645306587219, 0.8163045048713684, 0.5054070949554443, 0.19983235001564026]"
345,"[0.818455159664154, 0.23531116545200348, 0.34513816237449646, 0.7742012143135071, 0.16910302639007568, 0.5623877644538879, 0.33446502685546875, 0.9698451161384583, 0.11361593008041382, 0.3842589855194092]"
355,"[0.0, 0.7449032068252563, 0.0, 0.7170583605766296, 0.0, 0.003430066630244255, 0.0, 0.2563934624195099, 0.4247097074985504, 0.5609611868858337]"
365,"[0.24249616265296936, 0.8028185367584229, 0.45768240094184875, 0.06266184151172638, 0.44957098364830017, 0.0, 0.6420837044715881, 0.6759963035583496, 0.0, 0.5200696587562561]"
375,"[0.7869995832443237, 0.38003018498420715, 1.0441771745681763, 0.8344541192054749, 0.0, 0.3443078398704529, 0.6695908308029175, 0.3044178783893585, 0.39791521430015564, 0.2853555381298065]"
385,"[1.360592007637024, 0.15437161922454834, 0.0, 0.43143895268440247, 0.43337973952293396, 0.7659392356872559, 0.13493436574935913, 0.6941145062446594, 0.29565003514289856, 0.3726988434791565]"
405,"[0.14990226924419403, 0.7956597805023193, 0.0, 0.0, 0.29569366574287415, 0.0066223652102053165, 0.0, 0.0, 0.3553083837032318, 0.6998520493507385]"
415,"[0.0, 0.734779953956604, 0.3759509027004242, 0.5368146300315857, 0.15128087997436523, 0.21064439415931702, 0.0, 0.252328097820282, 0.5236716270446777, 0.45083069801330566]"
425,"[0.12831906974315643, 0.4375254809856415, 0.6994066834449768, 0.6916850209236145, 0.5126317739486694, 0.5761301517486572, 0.2838994264602661, 0.6191126108169556, 0.6407232880592346, 0.2692583203315735]"
435,"[0.0, 0.57908695936203, 0.0523129440844059, 0.5020940899848938, 0.1420818418264389, 0.11839938163757324, 0.0, 0.45241814851760864, 0.5473834872245789, 0.7037646174430847]"
445,"[0.47374218702316284, 0.8104607462882996, 0.3238137364387512, 0.3032160997390747, 0.5224744081497192, 0.22613397240638733, 0.3285462260246277, 0.03006410226225853, 0.5629339814186096, 0.4227016568183899]"
455,"[0.020548824220895767, 0.4452570676803589, 0.11135802417993546, 0.8778873682022095, 0.12543195486068726, 0.38813090324401855, 0.011763832531869411, 0.0, 0.28887662291526794, 0.7169188857078552]"
465,"[0.8143551349639893, 0.2184888869524002, 0.14830194413661957, 0.622000515460968, 0.21749341487884521, 0.28510648012161255, 0.44929930567741394, 0.8089138269424438, 0.4819294512271881, 0.5244343280792236]"
475,"[0.49889492988586426, 0.43433329463005066, 0.3925091624259949, 0.5514705777168274, 0.378657728433609, 0.7532204389572144, 0.7255765795707703, 0.78458172082901, 0.0011377123882994056, 0.21187596023082733]"
485,"[0.0, 0.6173499226570129, 0.047440305352211, 0.5223091840744019, 0.20862224698066711, 0.13708820939064026, 0.0, 0.3840360641479492, 0.25659871101379395, 0.6669735312461853]"
495,"[0.3227884769439697, 0.18211223185062408, 0.0, 0.5710306167602539, 0.8299751281738281, 0.5406339168548584, 0.0, 1.0285598039627075, 0.5268697142601013, 0.3718622326850891]"
505,"[0.2526779770851135, 0.5737679600715637, 0.04694085195660591, 0.5558818578720093, 0.1562187522649765, 0.2158222645521164, 0.0, 0.9463275671005249, 0.13605433702468872, 0.0]"
515,"[0.39743125438690186, 0.4141412377357483, 0.46874508261680603, 0.7494577765464783, 0.37325701117515564, 0.6802189946174622, 0.44203755259513855, 0.8083685040473938, 0.276960551738739, 0.296320378780365]"
525,"[0.37449565529823303, 0.5712420344352722, 0.6698266267776489, 0.9101829528808594, 0.4211606979370117, 0.0, 0.0, 0.33936062455177307, 0.501066267490387, 0.29529982805252075]"
535,"[0.21187029778957367, 0.03667040169239044, 0.8484336137771606, 0.4369465708732605, 0.645392656326294, 0.576202929019928, 0.5896943807601929, 0.8586873412132263, 0.22911787033081055, 0.43939951062202454]"
545,"[0.0, 0.08945193141698837, 0.030213648453354836, 0.11626587063074112, 0.16883143782615662, 0.40374597907066345, 0.43478718400001526, 0.5378931164741516, 0.13132929801940918, 0.182279571890831]"
555,"[0.48612409830093384, 0.4150193929672241, 0.49062249064445496, 0.0, 0.2926143407821655, 0.2981267273426056, 0.7384732961654663, 0.8438572287559509, 0.03852520510554314, 0.9669296741485596]"
565,"[0.39273545145988464, 0.23513983190059662, 0.1358283907175064, 0.46460971236228943, 0.22330349683761597, 0.2591678500175476, 0.08588942885398865, 1.1510846614837646, 0.06919670104980469, 0.5458428263664246]"
575,"[0.0, 0.6727786660194397, 0.04873890057206154, 0.9281934499740601, 0.0, 0.2945305407047272, 0.46988147497177124, 0.0, 0.15058599412441254, 0.7572498917579651]"
585,"[0.0, 0.11070001870393753, 0.20342208445072174, 0.5875371694564819, 0.24155494570732117, 0.09151586890220642, 0.0, 1.0115346908569336, 0.4094255864620209, 0.7859551310539246]"
595,"[0.12969081103801727, 0.5733038783073425, 0.0, 1.0584174394607544, 0.011147438548505306, 0.5610972046852112, 0.6568905711174011, 0.5832343697547913, 0.0, 0.6831271052360535]"
605,"[0.2636644244194031, 0.7842135429382324, 0.3757658898830414, 0.9480580687522888, 0.01967143826186657, 0.33713895082473755, 0.28626951575279236, 0.34063753485679626, 0.12123797833919525, 0.40175870060920715]"
615,"[0.14006537199020386, 0.1794283539056778, 0.09863260388374329, 0.8585153818130493, 0.11396453529596329, 1.2818959951400757, 0.7436648011207581, 0.6960647702217102, 0.18788833916187286, 0.2556787133216858]"
635,"[0.2636876702308655, 0.606896698474884, 0.48004594445228577, 0.4134240448474884, 0.4807196855545044, 0.5827118754386902, 0.09712887555360794, 0.9353681206703186, 0.540256142616272, 0.4887297749519348]"
645,"[0.9408782720565796, 0.530292809009552, 0.5506890416145325, 0.4372641146183014, 1.0001556873321533, 0.5175595879554749, 0.18255268037319183, 0.45145276188850403, 0.394546240568161, 0.19166317582130432]"
655,"[0.11041739583015442, 0.16870762407779694, 0.09611032158136368, 0.15316325426101685, 0.1449027955532074, 0.17658443748950958, 0.04663235321640968, 0.1633681058883667, 0.02923412062227726, 0.03755125030875206]"
665,"[1.5291510820388794, 0.02881530672311783, 0.21427662670612335, 0.5552012324333191, 0.3048968017101288, 0.5925055146217346, 1.0215548276901245, 0.5779523253440857, 0.05445278808474541, 0.0]"
685,"[0.4188390374183655, 0.600062906742096, 0.471865713596344, 0.6496561765670776, 0.0, 0.32451167702674866, 0.0, 1.2312191724777222, 0.2992009222507477, 0.0]"
695,"[0.3702722191810608, 0.6563120484352112, 0.5130752921104431, 0.4373461604118347, 0.23706695437431335, 0.8196677565574646, 0.12020876258611679, 0.07832267880439758, 0.4666762053966522, 0.5723049640655518]"
705,"[0.18168964982032776, 0.39727017283439636, 0.30227208137512207, 0.4775409698486328, 0.670842707157135, 0.44731542468070984, 0.4888972342014313, 1.0890467166900635, 0.0, 0.41252896189689636]"
715,"[0.7861145734786987, 0.562171459197998, 0.2257034182548523, 0.937832236289978, 0.0, 0.3465688228607178, 0.7843179702758789, 0.6036421656608582, 0.35496604442596436, 0.12574666738510132]"
725,"[0.08879104256629944, 0.4338189363479614, 0.38674116134643555, 0.20962192118167877, 0.29156896471977234, 0.0, 0.25867846608161926, 0.8845488429069519, 0.4005797207355499, 0.40640461444854736]"
735,"[0.15101630985736847, 0.15439526736736298, 0.0, 0.5095912218093872, 1.0789237022399902, 0.0, 0.025205310434103012, 0.7245136499404907, 0.4176797568798065, 0.8768298029899597]"
745,"[0.5130178332328796, 0.662670910358429, 0.11345404386520386, 0.6154744029045105, 0.29747456312179565, 0.6805920600891113, 0.6876097917556763, 1.130360722541809, 0.24288465082645416, 0.3914736211299896]"
755,"[0.0, 0.9126598834991455, 0.0, 0.8202897310256958, 0.02919674851000309, 0.9066123962402344, 0.0, 0.8714426159858704, 0.007642024662345648, 0.2853342294692993]"
765,"[0.15239103138446808, 0.8267862796783447, 0.24427169561386108, 0.7454175353050232, 0.15659891068935394, 0.0, 0.25193509459495544, 0.0, 0.20145681500434875, 0.6064061522483826]"
775,"[0.029127268120646477, 0.011267594993114471, 0.0, 0.0, 1.1593903303146362, 0.646868884563446, 0.5700852274894714, 0.6316515207290649, 0.0, 0.6625517010688782]"
785,"[0.09227115660905838, 0.512925386428833, 0.2542009651660919, 0.0, 0.7067000865936279, 0.26332852244377136, 0.8522869348526001, 0.5005460977554321, 0.21512873470783234, 0.8635590076446533]"
805,"[0.14301687479019165, 1.0002143383026123, 0.45648446679115295, 0.6233447790145874, 0.0, 0.33061495423316956, 0.460191011428833, 0.16783350706100464, 0.23838302493095398, 0.8432091474533081]"
815,"[0.0, 0.7845491766929626, 0.5503853559494019, 0.4546942710876465, 0.0, 0.0, 0.0, 0.0, 0.37829941511154175, 0.996961772441864]"
835,"[0.025052068755030632, 0.7410259246826172, 0.24692997336387634, 0.75211101770401, 0.1650107055902481, 0.29278188943862915, 0.20726534724235535, 0.4412689208984375, 0.08887743949890137, 0.658846914768219]"
875,"[0.0, 0.5655832290649414, 0.7724326252937317, 0.86171954870224, 0.6262625455856323, 0.0, 0.0, 0.14145053923130035, 0.2480933964252472, 1.1321755647659302]"
885,"[0.18790079653263092, 0.4327358901500702, 0.5999035835266113, 1.3157042264938354, 0.0, 0.3922535479068756, 0.0, 0.0, 0.5324757099151611, 0.23831991851329803]"
895,"[0.004192599095404148, 0.24354848265647888, 0.12018758803606033, 0.08805205672979355, 0.15374134480953217, 0.08756695687770844, 0.1490778774023056, 0.19303765892982483, 0.04388061538338661, 0.1743433177471161]"
905,"[0.19955773651599884, 0.3754294514656067, 0.0, 0.990330696105957, 0.3834022283554077, 0.9874003529548645, 0.48301583528518677, 0.6964651942253113, 0.16874627768993378, 0.5868532657623291]"
915,"[0.31969913840293884, 0.6258984804153442, 0.02667938731610775, 1.0144654512405396, 0.4120824933052063, 0.5893774628639221, 0.4467305541038513, 0.6981955766677856, 0.1159953624010086, 0.39698877930641174]"
925,"[0.5325685739517212, 0.0, 0.21304145455360413, 0.1059502586722374, 0.8946642875671387, 0.462674617767334, 0.0, 0.9542120695114136, 0.04103799909353256, 0.870073139667511]"
935,"[0.0, 0.14520543813705444, 0.0, 0.9062016606330872, 0.5441635251045227, 0.7192851901054382, 0.23664672672748566, 0.8102357387542725, 0.6738258004188538, 0.2177218198776245]"
945,"[0.0, 0.3231644630432129, 0.0, 1.1104023456573486, 0.39240145683288574, 0.9771617650985718, 0.4580669403076172, 0.6860737204551697, 0.20943787693977356, 0.42235928773880005]"
955,"[0.0, 0.5607815384864807, 0.0, 0.7995593547821045, 0.37306004762649536, 0.9085343480110168, 0.3080916702747345, 0.9219624400138855, 0.1791810840368271, 0.5194298028945923]"
965,"[0.28501129150390625, 0.540672779083252, 0.20748759806156158, 0.7473609447479248, 0.4167996942996979, 0.870524525642395, 0.4492044746875763, 0.9207833409309387, 0.0, 0.3387511372566223]"
975,"[0.038402389734983444, 0.2827763259410858, 0.06532919406890869, 0.0, 0.06214752793312073, 0.0, 0.08843697607517242, 0.05254412442445755, 0.03255616873502731, 0.22174391150474548]"
985,"[0.0, 1.2448115348815918, 0.3928980529308319, 1.0448111295700073, 0.0, 0.4507419764995575, 0.37992697954177856, 0.472777783870697, 0.0, 0.24872907996177673]"
1005,"[0.04137110710144043, 0.5637655854225159, 0.0, 0.966305673122406, 0.08694862574338913, 0.0, 0.0, 0.0, 0.5671891570091248, 0.6361281275749207]"
1015,"[0.19678805768489838, 0.5077334046363831, 0.31862398982048035, 0.9628313779830933, 0.11531990021467209, 0.5314681529998779, 0.11246436834335327, 0.17647916078567505, 0.12304924428462982, 0.8679280877113342]"
1025,"[0.32040509581565857, 0.7371367812156677, 0.0, 0.6840008497238159, 0.023593690246343613, 0.2963051497936249, 0.16124358773231506, 0.7847374677658081, 0.2004324346780777, 0.7456929683685303]"
1035,"[0.2023501843214035, 0.5104978680610657, 0.008502808399498463, 1.3520704507827759, 0.046724531799554825, 0.8590846061706543, 0.4469245672225952, 0.3726716935634613, 0.049088254570961, 0.5560717582702637]"
1055,"[0.2351858913898468, 1.3538084030151367, 0.07914198935031891, 0.1511128693819046, 0.22850148379802704, 0.20479318499565125, 0.1209116280078888, 0.0, 0.046113964170217514, 0.6496156454086304]"
1085,"[0.4895345866680145, 0.6155564188957214, 0.30079737305641174, 0.5657241940498352, 0.5135732293128967, 0.6795729398727417, 0.2413153350353241, 0.3546919524669647, 0.4263841509819031, 0.7559806704521179]"
1095,"[0.30502039194107056, 0.09031091630458832, 0.4832846224308014, 0.1609453707933426, 0.6671381592750549, 0.6215817928314209, 0.8453141450881958, 1.019509196281433, 0.11011525243520737, 0.4799366891384125]"
1105,"[0.17735451459884644, 0.14530713856220245, 0.28797584772109985, 0.40681466460227966, 0.26823198795318604, 0.0, 0.0, 0.0, 1.0779930353164673, 0.5150830149650574]"
1125,"[0.24841557443141937, 0.49295493960380554, 0.1317208856344223, 0.519306480884552, 0.301172137260437, 0.6696861982345581, 0.3450857996940613, 0.6708205938339233, 0.26244762539863586, 0.8093894124031067]"
1135,"[0.0, 0.5174975395202637, 0.2368662804365158, 0.8598200678825378, 0.10420102626085281, 0.5199038982391357, 0.2452002763748169, 0.30243247747421265, 0.22088174521923065, 0.7264594435691833]"
1145,"[0.3150061070919037, 0.21385690569877625, 0.20411717891693115, 0.10303354263305664, 0.24893276393413544, 0.43463101983070374, 0.4604201316833496, 0.6867531538009644, 0.17911623418331146, 0.45216765999794006]"
1175,"[0.5497474074363708, 0.21227630972862244, 0.08233779668807983, 0.3774653971195221, 0.4138416647911072, 0.679935872554779, 0.3287992477416992, 1.3071149587631226, 0.33794379234313965, 0.27902868390083313]"
1185,"[0.44729480147361755, 0.17781662940979004, 0.4139977693557739, 0.8173607587814331, 0.18190450966358185, 0.7799801230430603, 0.6483314633369446, 0.8927001357078552, 0.12066178023815155, 0.2599087357521057]"
1205,"[0.0, 0.8853658437728882, 0.0, 0.0, 0.1939799040555954, 0.17366614937782288, 0.0, 0.9585875272750854, 0.0, 0.9666885733604431]"
1215,"[0.20943598449230194, 0.6735360622406006, 0.0, 0.008837168104946613, 0.5103815197944641, 0.24243582785129547, 0.5156262516975403, 1.0833009481430054, 0.13927263021469116, 0.7461422681808472]"
1225,"[0.5257251858711243, 0.4277889132499695, 0.2787263095378876, 0.6010184288024902, 0.24083203077316284, 0.8726192116737366, 0.6608585715293884, 0.8002976179122925, 0.15625858306884766, 0.5526543855667114]"
1235,"[0.5031915307044983, 0.32173627614974976, 0.17238806188106537, 0.7279181480407715, 0.2931114137172699, 0.6512668132781982, 0.6052691340446472, 1.0654188394546509, 0.2940651774406433, 0.3584102392196655]"
1245,"[0.268053263425827, 0.33597487211227417, 0.06605116277933121, 0.15251323580741882, 0.4119008779525757, 0.5932517051696777, 0.6216216087341309, 1.1103848218917847, 0.0, 0.7756521701812744]"
1255,"[0.2907637655735016, 0.2594381868839264, 0.0, 0.0, 0.7132309675216675, 0.6549367904663086, 0.5484793782234192, 1.1142168045043945, 0.5236196517944336, 0.1626078188419342]"
1265,"[0.04606492444872856, 0.6100717782974243, 0.03740347549319267, 0.3807682693004608, 0.34074464440345764, 0.6698285341262817, 0.6905883550643921, 0.9198256134986877, 0.15594886243343353, 0.6419234275817871]"
1275,"[0.43767526745796204, 0.9739737510681152, 0.0, 0.13452553749084473, 0.17401397228240967, 0.4228793978691101, 0.437710702419281, 0.7965741157531738, 0.12906049191951752, 0.7278262376785278]"
1285,"[0.331032931804657, 0.2622121572494507, 0.37764275074005127, 0.41543126106262207, 0.40631017088890076, 0.1508234143257141, 0.6073998212814331, 1.207582950592041, 0.16121096909046173, 0.623525083065033]"
1295,"[0.6033167839050293, 0.32931745052337646, 0.5630788207054138, 0.5659173727035522, 0.6809715628623962, 0.6396021246910095, 0.25331875681877136, 0.8385289907455444, 0.38379740715026855, 0.009388086386024952]"
1305,"[0.41887953877449036, 0.0, 0.5588908791542053, 0.13420864939689636, 0.4065355360507965, 0.41657745838165283, 0.669769287109375, 1.019492745399475, 0.37853875756263733, 0.7056850790977478]"
1315,"[0.22967998683452606, 0.21847137808799744, 0.2162899225950241, 0.4084559977054596, 0.29335862398147583, 0.5360802412033081, 0.24650642275810242, 0.62253737449646, 0.18135076761245728, 0.4457085132598877]"
1325,"[0.0, 0.2933174669742584, 0.25913742184638977, 0.0, 0.22274994850158691, 0.17951397597789764, 0.07747386395931244, 0.0, 0.31708648800849915, 0.701938271522522]"
1335,"[0.0, 0.0, 0.3398105204105377, 0.13905955851078033, 0.20221799612045288, 0.0, 0.0, 0.4605773985385895, 0.8883978724479675, 0.6168917417526245]"
1345,"[0.39378079771995544, 0.01820024475455284, 0.3743568956851959, 0.4302220642566681, 0.4323139190673828, 0.46421268582344055, 0.39300188422203064, 0.5847933888435364, 0.17275576293468475, 1.1324012279510498]"
1355,"[0.0, 0.7103564739227295, 0.0, 0.0, 0.4687747061252594, 0.0, 0.8752764463424683, 0.4027728736400604, 0.11703402549028397, 0.7723442316055298]"
1365,"[0.8164111375808716, 0.08418536931276321, 0.0, 0.5580161809921265, 0.4917484521865845, 0.8904380798339844, 0.6125440001487732, 0.6233834624290466, 0.24681666493415833, 0.52609783411026]"
1375,"[0.2250501811504364, 0.8006910681724548, 0.0, 0.3662744462490082, 0.05082548037171364, 0.7593010663986206, 0.10617651790380478, 0.5087692737579346, 0.12169921398162842, 0.6993323564529419]"
1385,"[0.14232809841632843, 1.0150322914123535, 0.2910645604133606, 0.31670695543289185, 0.33787599205970764, 0.4481150507926941, 0.08434727042913437, 0.28663498163223267, 0.05690200626850128, 0.741168737411499]"
1395,"[0.2015678882598877, 0.2150450348854065, 0.33872824907302856, 0.44848427176475525, 0.4862014651298523, 0.7738325595855713, 0.37556537985801697, 0.49796217679977417, 0.3585892915725708, 0.5975584983825684]"
1405,"[0.04675693437457085, 0.18394751846790314, 0.45981714129447937, 0.0, 0.43624380230903625, 0.0, 0.695889949798584, 0.682275116443634, 0.3348293602466583, 0.9562733769416809]"
1415,"[0.667239785194397, 0.0, 1.3033502101898193, 0.7829522490501404, 0.867721676826477, 0.27777835726737976, 0.7607309818267822, 0.5500537157058716, 0.10334514826536179, 0.03552640601992607]"
1425,"[0.06092957407236099, 0.7896736264228821, 0.32996758818626404, 0.07270372658967972, 0.04918317124247551, 0.20515139400959015, 0.0918237492442131, 1.0238878726959229, 0.3418216407299042, 0.6219393610954285]"
1445,"[0.03293991833925247, 0.9002640843391418, 0.14871558547019958, 0.2518676519393921, 0.0, 0.0, 0.15135489404201508, 0.07174680382013321, 0.6683341860771179, 0.46268150210380554]"
1455,"[0.6044367551803589, 0.6768391728401184, 0.0, 0.6518974900245667, 0.34525105357170105, 0.4603070318698883, 0.017265211790800095, 0.5322834253311157, 0.0, 0.0]"
1465,"[0.4649931490421295, 0.6742515563964844, 0.5641396045684814, 0.5544557571411133, 0.00017984912847168744, 0.5354072451591492, 0.047434527426958084, 0.7872461080551147, 0.2352357804775238, 0.525474488735199]"
1475,"[0.7717375755310059, 0.2429119497537613, 0.8660469651222229, 0.5239785313606262, 0.3631564974784851, 0.5080040693283081, 0.08439940959215164, 0.4635099470615387, 0.29810670018196106, 0.5297162532806396]"
1485,"[0.0, 0.9667778015136719, 0.31059539318084717, 0.38069552183151245, 0.0, 0.2803892195224762, 0.5329060554504395, 0.350368857383728, 0.2033553272485733, 0.8779453039169312]"
1495,"[0.0, 0.2277119755744934, 0.0, 0.44971197843551636, 0.0, 0.0, 0.0, 0.16393157839775085, 0.5001894235610962, 0.473541796207428]"
1515,"[0.11805497854948044, 1.0367883443832397, 0.3603668212890625, 0.3873836398124695, 0.32864251732826233, 0.06264685839414597, 0.0, 0.01967184990644455, 0.5164949297904968, 0.5236756801605225]"
1525,"[0.6633334755897522, 0.392165869474411, 0.09387336671352386, 0.13126152753829956, 0.5583553314208984, 0.24385561048984528, 0.19046379625797272, 0.04863883554935455, 0.6141048669815063, 0.49626225233078003]"
1535,"[0.791667640209198, 0.6322857737541199, 0.41935214400291443, 0.7171964049339294, 0.0, 0.34756335616111755, 0.550044596195221, 0.6456156969070435, 0.4930737018585205, 0.20217448472976685]"
1545,"[0.9395791888237, 0.7089884281158447, 0.15347623825073242, 0.8432909250259399, 0.5865435600280762, 0.8663262724876404, 0.40786492824554443, 0.5961733460426331, 0.1251586228609085, 0.0]"
1555,"[0.2209497094154358, 0.14568762481212616, 0.009259269572794437, 0.23543286323547363, 0.23947302997112274, 0.3958847224712372, 0.07268813997507095, 0.24778662621974945, 0.0, 0.5110238194465637]"
1565,"[0.0, 0.47156351804733276, 0.0, 0.06609386950731277, 0.0, 0.15133661031723022, 0.0, 0.4577710032463074, 0.514505922794342, 1.2052165269851685]"
1575,"[0.6743417382240295, 0.0, 0.16988837718963623, 0.0, 1.2432682514190674, 0.0, 0.3850093185901642, 1.2894123792648315, 0.7965673804283142, 0.0]"
1585,"[0.0, 0.6456223726272583, 0.7178622484207153, 0.3006007969379425, 0.4257221221923828, 0.0, 0.06259000301361084, 1.1110811233520508, 1.3733100891113281, 0.17060275375843048]"
1595,"[0.16626256704330444, 0.32874491810798645, 0.17532800137996674, 0.7783557176589966, 0.0399419441819191, 0.14420752227306366, 0.0, 0.0, 0.20920442044734955, 0.3711423873901367]"
